player_name,team,position,actual_rating,predicted_rating,rating_difference
Danny Vieira da Costa,FSV Mainz 05,Defender,1.3784939069105724,1.5061647909963127,0.12767088408574034
Jérôme Roussillon,Union Berlin,Defender,1.4712771506449378,1.5055235997012713,0.03424644905633345
Jae-Sung Lee,FSV Mainz 05,Forward,1.4129562545833367,1.5054581055789347,0.09250185099559793
Jonas Föhrenbach,FC Heidenheim,Defender,1.4646497760924833,1.503371014370056,0.03872123827757279
Iago Amaral Borduchi,Augsburg,Defender,1.4923891568900807,1.5025803703700205,0.010191213479939787
Kevin Mbabu,Augsburg,Defender,1.511041397959666,1.496640476859488,-0.014400921100177877
Pavel Kadeřábek,Hoffenheim,Defender,1.325474910490935,1.4451435651413762,0.1196686546504413
Jamie Jermaine Bynoe-Gittens,Borussia Dortmund,Forward,1.1914647493950752,1.438605446745656,0.24714069735058075
David Jurásek,Hoffenheim,Defender,1.63033413990385,1.4273254531232364,-0.20300868678061357
Maximilian Eggestein,Freiburg,Midfielder,1.407654354941373,1.4229939967953467,0.01533964185397374
Oliver Baumann,Hoffenheim,Goalkeeper,1.471277150644938,1.4221247842796136,-0.049152366365324385
Amine Adli,Bayer Leverkusen,Defender,1.0673941857962355,1.4215396188866143,0.3541454330903788
Harry Kane,Bayern Munich,Forward,1.3645681149246283,1.396493209053319,0.03192509412869082
Jonas Older Wind,Wolfsburg,Forward,1.347270306548451,1.3946826581377088,0.04741235158925772
Lovro Majer,Wolfsburg,Forward,1.3943996058364636,1.3917841419028323,-0.0026154639336313235
Robin Hack,Borussia Mönchengladbach,Forward,1.2898280725104503,1.3773044152586216,0.08747634274817129
Maximilian Wittek,Bochum,Forward,1.224738817293624,1.3657910937651891,0.14105227647156515
Manuel Gulde,Freiburg,Defender,1.3744494855812863,1.361357101415857,-0.01309238416542935
Nick Woltemade,Werder Bremen,Forward,1.1016216106169128,1.3351637450064635,0.23354213438955074
Matthias Ginter,Freiburg,Defender,1.3122201613860258,1.3185924591967035,0.006372297810677718
Patrik Schick,Bayer Leverkusen,Forward,1.3101491631931586,1.2961019060013315,-0.01404725719182709
Philipp Hofmann,Bochum,Forward,1.15632605084445,1.2920129587825675,0.13568690793811755
Danilho Doekhi,Union Berlin,Defender,1.2326916667565695,1.278111983580581,0.045420316824011486
Finn Dahmen,Augsburg,Goalkeeper,1.2724559140712977,1.2770462185238056,0.004590304452507965
Jamie Leweling,VfB Stuttgart,Midfielder,1.3499187745502106,1.2674413410174064,-0.08247743353280423
Benedikt Gimber,FC Heidenheim,Defender,1.1435079855459862,1.2558941034382216,0.1123861178922354
Oscar Vilhelmsson,Darmstadt 98,Forward,1.3323768972667138,1.2529608784701147,-0.0794160187965991
Manuel Riemann,Bochum,Goalkeeper,1.1332810484697493,1.2472963004998,0.11401525203005058
Christopher Antwi-Adjej,Bochum,Forward,1.2357527503262553,1.2261559378064155,-0.009596812519839792
